date,no1,no2,no3,no4,no5
2019-01-01 00:00:00,1.7792,-0.357,-0.4441,2.3975,0.1227
2019-01-01 01:00:00,-1.5537,0.24,-0.3274,0.9267,-0.7578
2019-01-01 02:00:00,1.1487,1.2265,-0.118,-2.6647,0.7236
2019-01-01 03:00:00,0.5507,-1.3303,-0.5596,-0.5864,1.2789
2019-01-01 04:00:00,0.287,-1.6845,-1.8561,-0.7764,0.2881
2019-01-01 05:00:00,0.5945,-0.8072,-0.4183,1.2765,-0.2201
2019-01-01 06:00:00,-0.605,1.6035,-1.1057,0.1421,0.8941
2019-01-01 07:00:00,-0.0345,0.0531,1.0225,0.6752,-1.1915
2019-01-01 08:00:00,-1.5009,1.311,0.8974,-0.3425,-1.6026
2019-01-01 09:00:00,1.0232,0.9936,0.8262,-0.021,-2.0408
2019-01-01 10:00:00,0.3541,-1.7746,0.0473,-0.1961,0.6132
2019-01-01 11:00:00,1.1078,1.7516,0.3218,-0.0341,0.1609
2019-01-01 12:00:00,-0.0281,0.3237,0.0694,-1.4949,1.0996
2019-01-01 13:00:00,2.471,-0.1748,0.4378,0.4483,0.8072
2019-01-01 14:00:00,-0.26,0.8911,-0.5343,-0.8092,0.3692
2019-01-01 15:00:00,0.7419,-0.9552,-2.0861,-0.1179,1.3489
2019-01-01 16:00:00,1.1424,1.0695,1.6505,0.0981,0.3359
2019-01-01 17:00:00,-1.2223,-0.6079,-1.5486,0.244,-0.4609
2019-01-01 18:00:00,-0.9839,0.0532,-0.6797,0.027,-0.8309
2019-01-01 19:00:00,0.9191,1.4361,-0.1564,-0.036,-0.2118
2019-01-01 20:00:00,0.3749,1.1729,0.7778,1.219,-1.2257
2019-01-01 21:00:00,0.2141,-1.4578,-0.0851,0.0603,-0.5955
2019-01-01 22:00:00,0.5668,-0.1927,-0.4669,-0.0488,-1.2629
2019-01-01 23:00:00,-0.3518,-0.0876,0.38,0.2883,-1.6885
2019-01-02 00:00:00,-1.2292,0.5279,-0.1903,0.654,-0.7016
2019-01-02 01:00:00,-0.2359,1.4201,0.7338,-1.1946,-0.2811
2019-01-02 02:00:00,-0.0832,-0.6716,-0.4695,-2.6057,1.0181
2019-01-02 03:00:00,0.4598,0.5793,-2.0768,-0.3323,-0.488
2019-01-02 04:00:00,0.1942,1.1424,-0.6915,-0.4207,0.3808
2019-01-02 05:00:00,0.848,-0.0555,1.0308,0.7601,0.8886
2019-01-02 06:00:00,0.6492,-0.9674,1.0363,-1.6561,0.6564
2019-01-02 07:00:00,-0.7408,-2.4807,0.013,-0.2442,0.6261
2019-01-02 08:00:00,-0.9995,0.8364,-0.148,0.158,1.2324
2019-01-02 09:00:00,1.172,-0.2849,-0.5187,0.6888,1.2822
2019-01-02 10:00:00,1.4976,0.4012,-0.1725,1.0062,-0.1285
2019-01-02 11:00:00,0.6168,-0.2853,-0.2838,-0.4851,-1.1415
2019-01-02 12:00:00,-0.9322,0.2002,-1.4955,-0.9148,0.655
2019-01-02 13:00:00,0.7907,-0.5631,-2.0778,0.3307,1.7703
2019-01-02 14:00:00,0.5451,1.2206,0.0707,-0.7424,-0.7024
2019-01-02 15:00:00,-1.2083,1.7225,0.7917,-0.1002,-0.955
2019-01-02 16:00:00,1.1497,-0.2422,0.1452,-1.2465,0.6878
2019-01-02 17:00:00,-0.3576,-0.4661,-0.3211,-0.9564,-0.1629
2019-01-02 18:00:00,-1.353,-0.2442,0.9919,0.8316,1.3324
2019-01-02 19:00:00,0.7871,0.8723,-1.0138,0.0538,-0.9332
2019-01-02 20:00:00,-0.0627,0.9116,-0.3252,-0.3496,0.194
2019-01-02 21:00:00,0.2209,1.2019,-2.2211,-0.7949,-2.6955
2019-01-02 22:00:00,0.4348,1.194,-0.4051,0.6839,1.6955
2019-01-02 23:00:00,-1.2859,-0.2909,1.4988,0.0421,-0.6595
2019-01-03 00:00:00,0.6044,-0.5383,-0.4368,0.7679,-0.7805
2019-01-03 01:00:00,0.5797,-0.2208,1.2442,-0.3719,-1.3475
2019-01-03 02:00:00,-0.387,0.806,1.2235,-0.6725,0.3764
2019-01-03 03:00:00,1.1628,-0.2806,0.6738,1.6477,2.1082
2019-01-03 04:00:00,1.1429,-0.8652,-0.759,-1.1697,0.9535
2019-01-03 05:00:00,0.0252,0.5686,0.7908,0.326,1.0263
2019-01-03 06:00:00,-2.1689,-0.2066,-2.6568,0.6898,0.1006
2019-01-03 07:00:00,-0.4252,0.321,1.2155,-1.2009,-1.2385
2019-01-03 08:00:00,0.6063,0.4681,0.0427,1.1095,0.7495
2019-01-03 09:00:00,-0.6753,-0.5045,0.2659,-0.413,-1.0546
2019-01-03 10:00:00,2.1586,-0.3257,0.3231,-1.6243,-0.6577
2019-01-03 11:00:00,0.4382,-0.8732,-0.6048,1.9625,0.2072
2019-01-03 12:00:00,-0.0768,0.2428,1.4337,-0.4668,0.9775
2019-01-03 13:00:00,0.196,-0.4698,0.3041,2.3885,-1.2138
2019-01-03 14:00:00,-1.7775,-0.6756,1.0599,0.9165,0.5842
2019-01-03 15:00:00,-0.2651,0.0645,-0.9039,0.1179,0.9585
2019-01-03 16:00:00,-2.0877,-0.2898,-0.768,-0.4995,-0.1895
2019-01-03 17:00:00,-1.3697,0.0814,-0.1569,0.9097,-1.1316
2019-01-03 18:00:00,0.4665,0.5705,-0.6637,0.3499,-0.8687
2019-01-03 19:00:00,-0.3356,0.32,1.2148,-1.384,-0.317
2019-01-03 20:00:00,-0.5291,-0.0485,-1.5069,-2.1007,0.4955
2019-01-03 21:00:00,0.993,0.0644,1.3148,-0.44,-0.987
2019-01-03 22:00:00,-1.4168,2.3554,-0.5566,2.6977,-0.0334
2019-01-03 23:00:00,0.2308,-0.017,-0.6495,0.3657,0.0104
2019-01-04 00:00:00,-0.5105,-0.1125,-0.2469,0.1192,-0.1882
2019-01-04 01:00:00,1.2964,0.1679,-0.9251,-0.1485,1.0369
2019-01-04 02:00:00,0.1197,0.1453,1.4037,-0.5738,-0.0505
2019-01-04 03:00:00,-0.8013,-1.3871,-0.9835,0.5718,-0.117
2019-01-04 04:00:00,-1.5111,1.6042,-0.6311,0.9102,-0.9385
2019-01-04 05:00:00,-0.6376,0.2552,1.1984,1.0421,-0.2725
2019-01-04 06:00:00,1.0233,1.1245,0.501,0.6534,-0.9382
2019-01-04 07:00:00,0.6196,-1.2753,-0.1842,-0.0558,0.1188
2019-01-04 08:00:00,0.7792,2.5267,-0.6115,-1.8016,-0.8519
2019-01-04 09:00:00,0.5366,0.4751,-1.8899,1.1306,0.914
2019-01-04 10:00:00,-1.5605,-0.4007,1.8718,-0.4575,-0.0984
2019-01-04 11:00:00,0.694,0.0247,-0.1554,-1.1268,0.1494
2019-01-04 12:00:00,0.5475,-1.0885,0.0385,-1.4863,-0.0254
2019-01-04 13:00:00,-0.3692,-1.8878,-0.9439,1.075,1.6406
2019-01-04 14:00:00,-1.2891,-0.5425,2.713,-1.5347,1.1693
2019-01-04 15:00:00,0.2918,-0.6305,-0.4688,0.1312,-1.853
2019-01-04 16:00:00,1.0456,-0.9284,-0.818,-0.7454,0.0441
2019-01-04 17:00:00,-0.0485,0.4095,1.0385,-0.7214,0.5467
2019-01-04 18:00:00,1.7563,2.5055,0.7267,0.355,0.3346
2019-01-04 19:00:00,-0.5734,-0.2197,-1.1205,-2.0105,0.9499
2019-01-04 20:00:00,2.3448,0.0557,0.6682,-0.1341,-0.3468
2019-01-04 21:00:00,-0.4285,-0.3536,-0.2212,-2.472,-0.0969
2019-01-04 22:00:00,0.7403,-0.444,1.057,0.0044,-1.2642
